tair_locus,name,class
IAA1,AT4G14560,A
IAA2 ,AT3G23030,A
IAA3 ,AT1G04240,A
IAA4 ,AT5G43700,A
IAA5 ,AT1G15580,A
IAA6 ,AT1G52830,A
IAA7 ,AT3G23050,A
IAA8 ,AT2G22670,A
IAA9 ,AT5G65670,A
IAA10 ,AT1G04100,B
IAA11 ,AT4G28640,B
IAA12 ,AT1G04550,B
IAA13 ,AT2G33310,B
IAA14 ,AT4G14550,A
IAA15 ,AT1G80390,A
IAA16 ,AT3G04730,A
IAA17 ,AT1G04250,A
IAA18 ,AT1G51950,B
IAA19 ,AT3G15540,A
IAA20 ,AT2G46990,C
IAA26 ,AT3G16500,B
IAA27 ,AT4G29080,A
IAA28 ,AT5G25890,B
IAA29 ,AT4G32280,C
IAA30 ,AT3G62100,C
IAA31 ,AT3G17600,C
IAA32 ,AT2G01200,C
IAA33 ,AT5G57420,C
IAA34 ,AT1G15050,C